EL2 in an EL2-enabled (nested-virt) VM	ID_AA64PFR1_EL1	S3_0_C0_C4_1	read	native	NATIVE         value=0x0000000202000001
EL2 in an EL2-enabled (nested-virt) VM	ID_AA64MMFR1_EL1	S3_0_C0_C7_1	read	native	NATIVE         value=0x0000100011312000
EL2 in an EL2-enabled (nested-virt) VM	ID_AA64ISAR1_EL1	S3_0_C0_C6_1	read	native	NATIVE         value=0x0010221110211502
EL2 in an EL2-enabled (nested-virt) VM	SCTLR_EL1	S3_0_C1_C0_0	read	native	NATIVE         value=0x0000000030d00800
EL2 in an EL2-enabled (nested-virt) VM	HCR_EL2	S3_4_C1_C1_0	read	native	NATIVE         value=0x0100000080000000
EL2 in an EL2-enabled (nested-virt) VM	VTTBR_EL2	S3_4_C2_C1_0	read	native	NATIVE         value=0x0000000000000000
EL2 in an EL2-enabled (nested-virt) VM	SCTLR_EL2	S3_4_C1_C0_0	read	native	NATIVE         value=0x0000000030c50830
EL2 in an EL2-enabled (nested-virt) VM	UDF (.long 0)		exec	guest-exception	GUEST-EXC@EL2  ESR=0x02000000 EC=0x00 UNKNOWN/UNDEF
EL2 in an EL2-enabled (nested-virt) VM	SVC #0		exec	guest-exception	GUEST-EXC@EL2  ESR=0x56000000 EC=0x15 SVC64
EL2 in an EL2-enabled (nested-virt) VM	HVC #0		exec	guest-exception	GUEST-EXC@EL2  ESR=0x5a000000 EC=0x16 HVC64
EL2 in an EL2-enabled (nested-virt) VM	SMC #0		exec	trap-to-vmm	EXIT->VMM      ESR=0x5e000000 EC=0x17 SMC64
EL2 in an EL2-enabled (nested-virt) VM	BRK #0		exec	guest-exception	GUEST-EXC@EL2  ESR=0xf2000000 EC=0x3c BRK
EL2 in an EL2-enabled (nested-virt) VM	WFI		exec	trap-to-vmm	EXIT->VMM      ESR=0x07e00000 EC=0x01 WFx
EL2 in an EL2-enabled (nested-virt) VM	SPRR_CONFIG_EL1	S3_6_C15_C1_0	read	guest-exception	GUEST-EXC@EL2  ESR=0x02000000 EC=0x00 UNKNOWN/UNDEF
EL2 in an EL2-enabled (nested-virt) VM	SPRR_CONFIG_EL1	S3_6_C15_C1_0	write(old|bits)	guest-exception	GUEST-EXC@EL2  ESR=0x02000000 EC=0x00 UNKNOWN/UNDEF
EL2 in an EL2-enabled (nested-virt) VM	SPRR_CONFIG_EL1	S3_6_C15_C1_0	read-back	guest-exception	GUEST-EXC@EL2  ESR=0x02000000 EC=0x00 UNKNOWN/UNDEF
EL2 in an EL2-enabled (nested-virt) VM	SPRR_CONFIG_EL1	S3_6_C15_C1_0	write(restore)	guest-exception	GUEST-EXC@EL2  ESR=0x02000000 EC=0x00 UNKNOWN/UNDEF
EL2 in an EL2-enabled (nested-virt) VM	SPRR_PPERM_EL1	S3_6_C15_C1_6	read	guest-exception	GUEST-EXC@EL2  ESR=0x02000000 EC=0x00 UNKNOWN/UNDEF
EL2 in an EL2-enabled (nested-virt) VM	SPRR_PPERM_EL1	S3_6_C15_C1_6	write(same)	guest-exception	GUEST-EXC@EL2  ESR=0x02000000 EC=0x00 UNKNOWN/UNDEF
EL2 in an EL2-enabled (nested-virt) VM	SPRR_PPERM_EL1	S3_6_C15_C1_6	read-back	guest-exception	GUEST-EXC@EL2  ESR=0x02000000 EC=0x00 UNKNOWN/UNDEF
EL2 in an EL2-enabled (nested-virt) VM	SPRR_PPERM_EL1	S3_6_C15_C1_6	write(restore)	guest-exception	GUEST-EXC@EL2  ESR=0x02000000 EC=0x00 UNKNOWN/UNDEF
EL2 in an EL2-enabled (nested-virt) VM	SPRR_UPERM_EL0	S3_6_C15_C1_5	read	guest-exception	GUEST-EXC@EL2  ESR=0x02000000 EC=0x00 UNKNOWN/UNDEF
EL2 in an EL2-enabled (nested-virt) VM	SPRR_AMRANGE_EL1	S3_6_C15_C1_3	read	guest-exception	GUEST-EXC@EL2  ESR=0x02000000 EC=0x00 UNKNOWN/UNDEF
EL2 in an EL2-enabled (nested-virt) VM	SPRR_PMPRR_EL1	S3_6_C15_C3_1	read	guest-exception	GUEST-EXC@EL2  ESR=0x02000000 EC=0x00 UNKNOWN/UNDEF
EL2 in an EL2-enabled (nested-virt) VM	SPRR_UMPRR_EL1	S3_6_C15_C3_0	read	guest-exception	GUEST-EXC@EL2  ESR=0x02000000 EC=0x00 UNKNOWN/UNDEF
EL2 in an EL2-enabled (nested-virt) VM	GXF_CONFIG_EL1	S3_6_C15_C1_2	read	guest-exception	GUEST-EXC@EL2  ESR=0x02000000 EC=0x00 UNKNOWN/UNDEF
EL2 in an EL2-enabled (nested-virt) VM	GXF_ENTRY_EL1	S3_6_C15_C8_1	read	guest-exception	GUEST-EXC@EL2  ESR=0x02000000 EC=0x00 UNKNOWN/UNDEF
EL2 in an EL2-enabled (nested-virt) VM	GXF_PABENTRY_EL1	S3_6_C15_C8_2	read	guest-exception	GUEST-EXC@EL2  ESR=0x02000000 EC=0x00 UNKNOWN/UNDEF
EL2 in an EL2-enabled (nested-virt) VM	CURRENTG	S3_6_C15_C8_0	read	guest-exception	GUEST-EXC@EL2  ESR=0x02000000 EC=0x00 UNKNOWN/UNDEF
EL2 in an EL2-enabled (nested-virt) VM	ASPSR_GL1	S3_6_C15_C10_4	read	guest-exception	GUEST-EXC@EL2  ESR=0x02000000 EC=0x00 UNKNOWN/UNDEF
EL2 in an EL2-enabled (nested-virt) VM	SP_GL1	S3_6_C15_C10_0	read	guest-exception	GUEST-EXC@EL2  ESR=0x02000000 EC=0x00 UNKNOWN/UNDEF
EL2 in an EL2-enabled (nested-virt) VM	ESR_GL1	S3_6_C15_C10_5	read	guest-exception	GUEST-EXC@EL2  ESR=0x02000000 EC=0x00 UNKNOWN/UNDEF
EL2 in an EL2-enabled (nested-virt) VM	ELR_GL1	S3_6_C15_C10_6	read	guest-exception	GUEST-EXC@EL2  ESR=0x02000000 EC=0x00 UNKNOWN/UNDEF
EL2 in an EL2-enabled (nested-virt) VM	VBAR_GL1	S3_6_C15_C10_2	read	guest-exception	GUEST-EXC@EL2  ESR=0x02000000 EC=0x00 UNKNOWN/UNDEF
EL2 in an EL2-enabled (nested-virt) VM	APCTL_EL1	S3_4_C15_C0_4	read	guest-exception	GUEST-EXC@EL2  ESR=0x02000000 EC=0x00 UNKNOWN/UNDEF
EL2 in an EL2-enabled (nested-virt) VM	APCTL_EL1	S3_4_C15_C0_4	write(same)	guest-exception	GUEST-EXC@EL2  ESR=0x02000000 EC=0x00 UNKNOWN/UNDEF
